,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.39209336898087, 2.145214652176387)","(41.392052858771315, 2.1475974799467834)",54.7,279.7,5.1133455210237635,49.69400024414063,44.72999954223633,-0.0177475892095255,-1.7747589209525554,-0.0177457262012505,1,0,0,0,1,0.07200243882043708,8.86889190871986,0.2797,0.0
1,1,"(41.392052858771315, 2.1475974799467834)","(41.38938229832065, 2.1511342522268415)",37.7,418.7,11.106100795755966,44.72999954223633,36.5989990234375,-0.0194196334339594,-1.9419633433959465,-0.0194171927948005,1,0,1,0,1,0.4098553899660052,8.6816339401794,0.41869999999999996,0.0
2,2,"(41.38938229832065, 2.1511342522268415)","(41.386799032992045, 2.1545540180552223)",39.2,405.1,10.334183673469388,36.5989990234375,27.86000061035156,-0.0215724473292666,-2.1572447329266686,-0.0215691018699272,1,0,1,0,1,0.3141840858305837,8.556021665926375,0.4051,0.0
3,3,"(41.386799032992045, 2.1545540180552223)","(41.385291472817606, 2.1565514911672334)",21.9,236.3,10.78995433789954,27.86000061035156,23.691999435424805,-0.0176385999785305,-1.76385999785305,-0.0176367710782846,1,0,0,0,1,0.3948171366032304,8.361115783419248,0.2363,0.0
4,4,"(41.385291472817606, 2.1565514911672334)","(41.38329051494962, 2.159201020359802)",33.7,313.8,9.311572700296736,23.691999435424805,19.45800018310547,-0.0134926681080922,-1.3492668108092212,-0.0134918494080297,1,0,0,0,1,0.34222837046403765,8.176454070795844,0.3138,0.0
5,5,"(41.38329051494962, 2.159201020359802)","(41.382981, 2.159728)",87.8,615.5,7.010250569476082,19.45800018310547,18.55500030517578,-0.0014670997204381,-0.146709972043816,-0.0014670986678533,1,0,0,0,1,0.7917508164647677,7.384703254331075,0.6155,0.0
6,6,"(41.382981, 2.159728)","(41.381507174652164, 2.161561295152805)",36.3,225.2,6.203856749311295,18.55500030517578,16.576000213623047,-0.0087877446338931,-0.8787744633893138,-0.008787518434774998,0,0,0,0,1,0.10959514240372598,7.381405974107614,0.22519999999999998,0.0
7,7,"(41.381507174652164, 2.161561295152805)","(41.3799687176988, 2.162654315962558)",53.1,243.9,4.59322033898305,16.576000213623047,13.416999816894533,-0.0129520311468983,-1.2952031146898384,-0.0129513069633147,1,0,0,0,1,0.12469492204915562,7.300370940450372,0.2439,0.0
8,8,"(41.3799687176988, 2.162654315962558)","(41.37650225363717, 2.1593367991758)",144.2,663.1,4.598474341192788,13.416999816894533,14.170000076293945,0.0011355757191968,0.1135575719196824,0.0011355752310767,1,1,0,0,1,0.9124677603545401,6.43969000458948,0.6631,0.0
9,9,"(41.37650225363717, 2.1593367991758)","(41.37821148372946, 2.1570879348578322)",51.2,267.2,5.218749999999999,14.170000076293945,16.05299949645996,0.0070471535185853,0.7047153518585387,0.0070470368626065,1,0,0,0,1,0.5108705596607942,5.984016400654591,0.2672,0.0
10,10,"(41.37821148372946, 2.1570879348578322)","(41.3799794417631, 2.154743633869562)",66.6,277.4,4.165165165165165,16.05299949645996,19.06599998474121,0.0108615734977694,1.0861573497769468,0.0108611464010442,1,0,0,0,1,0.6015690594983518,5.423762981092741,0.2774,0.0
11,11,"(41.3799794417631, 2.154743633869562)","(41.3825452752238, 2.1513524654557705)",96.5,401.9,4.164766839378238,19.06599998474121,24.86100006103516,0.0144190098937396,1.4419009893739598,0.0144180107432777,1,0,0,0,1,0.9656583935256943,4.500885354482212,0.4019,0.0
12,12,"(41.3825452752238, 2.1513524654557705)","(41.38509923599778, 2.147953944210127)",96.3,401.4,4.168224299065421,24.86100006103516,32.89400100708008,0.0200124587594542,2.001245875945421,0.020009787747991,1,0,0,0,1,1.1341010392013684,3.4118678069459905,0.4014,0.0
13,13,"(41.38509923599778, 2.147953944210127)","(41.386508, 2.146018)",160.2,747.8,4.667915106117354,32.89400100708008,39.53300094604492,0.0088780421756684,0.887804217566842,0.0088778089320238,1,0,0,0,1,1.4629143327634417,1.9489534741825487,0.7477999999999999,0.0
14,14,"(41.386508, 2.146018)","(41.387722238414725, 2.1454934439318882)",38.0,198.5,5.223684210526316,39.53300094604492,41.93600082397461,0.0121057928359178,1.210579283591782,0.0121052015190429,0,0,0,0,0,1.4629143327634417,2.0052064202761963,0.7477999999999999,0.16090082560282426
15,15,"(41.387722238414725, 2.1454934439318882)","(41.389031, 2.147162)",18.1,201.3,11.121546961325967,41.93600082397461,41.68350028991699,-0.0012543493991933,-0.1254349399193329,-0.0012543487413326,1,0,0,0,0,0.072647267082151,1.9325591531940454,0.025,0.19715262011338452
16,16,"(41.389031, 2.147162)","(41.389809, 2.148191)",82.0,666.8,8.13170731707317,41.68350028991699,41.430999755859375,-0.0003786750660732,-0.0378675066073211,-0.0003786750479732,0,0,0,0,1,0.770148507241735,1.1624106459523103,0.6668,0.0
17,17,"(41.389809, 2.148191)","(41.39040345199265, 2.1448073579952696)",47.3,291.2,6.1564482029598295,41.430999755859375,46.87799835205078,0.0187053523220858,1.8705352322085875,0.0187031711734424,0,0,0,0,1,0.7699750912988786,0.6749056677768903,0.2912,0.0
18,18,"(41.39040345199265, 2.1448073579952696)","(41.39209336898087, 2.145214652176387)",72.8,381.1,5.23489010989011,46.87799835205078,49.69400024414063,0.0073891416743369995,0.7389141674337033,0.0073890071978055,1,0,0,0,1,0.7179956727930378,0.01230420472506693,0.38110000000000005,0.0
